Cone,Index,Height,width_Predicted
cone_0,235,0.9440000000000001,2.657153848677496
cone_0,236,0.9480000000000001,2.656206544242254
cone_0,237,0.9520000000000001,2.6552592398070125
cone_0,238,0.9560000000000001,2.6543119353717706
cone_0,239,0.9600000000000001,2.6533646309365286
cone_0,240,0.964,2.6524173265012867
cone_0,241,0.968,2.6514700220660448
cone_0,242,0.972,2.650522717630803
cone_0,243,0.976,2.649575413195561
cone_0,244,0.98,2.6486281087603194
cone_0,245,0.984,2.6476808043250775
cone_0,246,0.988,2.6467334998898355
cone_0,247,0.992,2.6457861954545936
cone_0,248,0.996,2.6448388910193517
cone_0,249,1.0,2.6438915865841097
cone_0,250,1.004,2.642944282148868
cone_0,251,1.008,2.641996977713626
cone_0,252,1.012,2.641049673278384
cone_0,253,1.016,2.6401023688431424
cone_0,254,1.02,2.6391550644079005
cone_0,255,1.024,2.6382077599726586
cone_0,256,1.028,2.6372604555374166
cone_0,257,1.032,2.6363131511021747
cone_0,258,1.036,2.6353658466669327
cone_0,259,1.04,2.634418542231691
cone_0,260,1.044,2.633471237796449
cone_0,261,1.048,2.632523933361207
cone_0,262,1.052,2.6315766289259654
cone_0,263,1.056,2.6306293244907235
cone_0,264,1.06,2.6296820200554816
cone_0,265,1.064,2.6287347156202396
cone_0,266,1.068,2.6277874111849977
cone_0,267,1.072,2.6268401067497558
cone_0,268,1.076,2.625892802314514
cone_0,269,1.08,2.624945497879272
cone_0,270,1.084,2.62399819344403
cone_0,271,1.088,2.6230508890087885
cone_0,272,1.092,2.6221035845735465
cone_0,273,1.096,2.6211562801383046
cone_0,274,1.1,2.6202089757030627
cone_0,275,1.104,2.6192616712678207
cone_0,276,1.108,2.618314366832579
cone_0,277,1.112,2.617367062397337
cone_0,278,1.116,2.616419757962095
cone_0,279,1.12,2.615472453526853
cone_0,280,1.124,2.6145251490916115
cone_0,281,1.1280000000000001,2.6135778446563696
cone_0,282,1.1320000000000001,2.6126305402211276
cone_0,283,1.1360000000000001,2.6116832357858857
cone_0,284,1.1400000000000001,2.6107359313506437
cone_0,285,1.1440000000000001,2.609788626915402
cone_0,286,1.1480000000000001,2.60884132248016
cone_0,287,1.1520000000000001,2.607894018044918
cone_0,288,1.1560000000000001,2.606946713609676
cone_0,289,1.16,2.6059994091744345
cone_0,290,1.164,2.6050521047391926
cone_0,291,1.168,2.6041048003039506
cone_0,292,1.172,2.6031574958687087
cone_0,293,1.176,2.6022101914334668
cone_0,294,1.18,2.601262886998225
cone_0,295,1.184,2.600315582562983
