image_name,cluster_label,width,height,center
MM_final_0116.tif,0,689.0,690.0,"[3325.5, 2374.0]"
MM_final_0116.tif,2,709.0,518.0,"[1751.5, 4900.0]"
MM_final_0117.tif,1,583.0,706.0,"[301.5, 2333.0]"
MM_final_0117.tif,0,688.0,689.0,"[3325.0, 2373.5]"
MM_final_0117.tif,2,708.0,517.0,"[1752.0, 4900.5]"
MM_final_0118.tif,1,580.0,700.0,"[301.0, 2333.0]"
MM_final_0118.tif,0,687.0,688.0,"[3324.5, 2373.0]"
MM_final_0118.tif,2,709.0,517.0,"[1751.5, 4900.5]"
MM_final_0119.tif,1,582.0,705.0,"[301.0, 2332.5]"
MM_final_0119.tif,0,682.0,688.0,"[3324.0, 2373.0]"
MM_final_0119.tif,2,710.0,516.0,"[1751.0, 4900.0]"
MM_final_0120.tif,1,580.0,701.0,"[301.0, 2332.5]"
MM_final_0120.tif,0,680.0,687.0,"[3323.0, 2372.5]"
MM_final_0120.tif,2,711.0,517.0,"[1751.5, 4899.5]"
MM_final_0121.tif,1,581.0,701.0,"[301.5, 2332.5]"
MM_final_0121.tif,0,680.0,686.0,"[3323.0, 2372.0]"
MM_final_0121.tif,2,711.0,517.0,"[1751.5, 4899.5]"
MM_final_0122.tif,1,582.0,700.0,"[301.0, 2333.0]"
MM_final_0122.tif,0,681.0,686.0,"[3322.5, 2372.0]"
MM_final_0122.tif,2,710.0,517.0,"[1751.0, 4899.5]"
MM_final_0123.tif,1,583.0,706.0,"[301.5, 2332.0]"
MM_final_0123.tif,0,680.0,686.0,"[3323.0, 2372.0]"
MM_final_0123.tif,2,711.0,517.0,"[1750.5, 4899.5]"
MM_final_0124.tif,1,582.0,707.0,"[301.0, 2331.5]"
MM_final_0124.tif,0,679.0,685.0,"[3323.5, 2371.5]"
MM_final_0124.tif,2,709.0,517.0,"[1749.5, 4899.5]"
MM_final_0125.tif,1,582.0,706.0,"[301.0, 2331.0]"
MM_final_0125.tif,0,680.0,686.0,"[3323.0, 2371.0]"
MM_final_0125.tif,2,707.0,517.0,"[1748.5, 4899.5]"
MM_final_0126.tif,1,582.0,707.0,"[301.0, 2331.5]"
MM_final_0126.tif,0,678.0,687.0,"[3323.0, 2371.5]"
MM_final_0126.tif,2,707.0,517.0,"[1748.5, 4899.5]"
MM_final_0127.tif,1,579.0,702.0,"[300.5, 2330.0]"
MM_final_0127.tif,0,679.0,687.0,"[3324.5, 2372.5]"
MM_final_0127.tif,2,707.0,518.0,"[1748.5, 4899.0]"
MM_final_0128.tif,1,580.0,707.0,"[300.0, 2330.5]"
MM_final_0128.tif,0,680.0,688.0,"[3324.0, 2372.0]"
MM_final_0128.tif,2,703.0,516.0,"[1749.5, 4900.0]"
MM_final_0129.tif,1,580.0,707.0,"[300.0, 2330.5]"
MM_final_0129.tif,0,681.0,687.0,"[3325.5, 2372.5]"
MM_final_0129.tif,2,706.0,516.0,"[1750.0, 4900.0]"
