image_name,cluster_label,width
final_full_stack0184.tif,2,695.0
final_full_stack0185.tif,1,585.0
final_full_stack0185.tif,2,693.0
final_full_stack0185.tif,0,667.0
final_full_stack0186.tif,2,693.0
final_full_stack0186.tif,0,665.0
final_full_stack0186.tif,1,584.0
final_full_stack0187.tif,1,585.0
final_full_stack0187.tif,2,693.0
final_full_stack0187.tif,0,665.0
final_full_stack0188.tif,0,663.0
final_full_stack0188.tif,1,583.0
final_full_stack0188.tif,2,694.0
final_full_stack0189.tif,1,583.0
final_full_stack0189.tif,2,695.0
final_full_stack0189.tif,0,666.0
final_full_stack0190.tif,2,696.0
final_full_stack0190.tif,0,667.0
final_full_stack0190.tif,1,581.0
final_full_stack0191.tif,2,695.0
final_full_stack0191.tif,0,666.0
final_full_stack0191.tif,1,580.0
final_full_stack0192.tif,2,694.0
final_full_stack0192.tif,0,666.0
final_full_stack0192.tif,1,581.0
final_full_stack0193.tif,0,667.0
final_full_stack0193.tif,2,691.0
final_full_stack0193.tif,1,580.0
final_full_stack0194.tif,2,692.0
final_full_stack0194.tif,1,579.0
final_full_stack0194.tif,0,670.0
final_full_stack0195.tif,1,580.0
final_full_stack0195.tif,2,692.0
final_full_stack0195.tif,0,668.0
final_full_stack0196.tif,1,580.0
final_full_stack0196.tif,0,667.0
final_full_stack0196.tif,2,693.0
final_full_stack0197.tif,2,691.0
final_full_stack0197.tif,0,670.0
final_full_stack0197.tif,1,581.0
final_full_stack0198.tif,2,692.0
final_full_stack0198.tif,1,581.0
final_full_stack0198.tif,0,669.0
final_full_stack0199.tif,0,668.0
final_full_stack0199.tif,1,581.0
final_full_stack0199.tif,2,693.0
final_full_stack0200.tif,0,667.0
final_full_stack0200.tif,2,693.0
final_full_stack0200.tif,1,580.0
final_full_stack0201.tif,0,669.0
final_full_stack0201.tif,2,692.0
final_full_stack0201.tif,1,582.0
final_full_stack0202.tif,1,582.0
final_full_stack0202.tif,0,667.0
final_full_stack0202.tif,2,692.0
final_full_stack0203.tif,0,668.0
final_full_stack0203.tif,1,580.0
final_full_stack0203.tif,2,694.0
final_full_stack0204.tif,0,668.0
final_full_stack0204.tif,2,692.0
final_full_stack0204.tif,1,580.0
final_full_stack0205.tif,1,581.0
final_full_stack0205.tif,2,692.0
final_full_stack0205.tif,0,671.0
final_full_stack0206.tif,1,581.0
final_full_stack0206.tif,0,669.0
final_full_stack0206.tif,2,689.0
final_full_stack0207.tif,0,667.0
final_full_stack0207.tif,2,689.0
final_full_stack0207.tif,1,580.0
final_full_stack0208.tif,2,688.0
final_full_stack0208.tif,0,667.0
final_full_stack0208.tif,1,580.0
final_full_stack0209.tif,1,580.0
final_full_stack0209.tif,2,688.0
final_full_stack0209.tif,0,664.0
final_full_stack0210.tif,1,580.0
final_full_stack0210.tif,0,666.0
final_full_stack0210.tif,2,688.0
final_full_stack0211.tif,0,667.0
final_full_stack0211.tif,1,580.0
final_full_stack0211.tif,2,687.0
final_full_stack0212.tif,1,579.0
final_full_stack0212.tif,2,684.0
final_full_stack0212.tif,0,668.0
final_full_stack0213.tif,1,580.0
final_full_stack0213.tif,2,683.0
final_full_stack0213.tif,0,667.0
final_full_stack0214.tif,1,579.0
final_full_stack0214.tif,0,668.0
final_full_stack0214.tif,2,674.0
final_full_stack0215.tif,2,681.0
final_full_stack0215.tif,0,668.0
final_full_stack0215.tif,1,578.0
final_full_stack0216.tif,2,681.0
final_full_stack0216.tif,0,666.0
final_full_stack0216.tif,1,577.0
final_full_stack0217.tif,0,665.0
final_full_stack0217.tif,1,577.0
final_full_stack0217.tif,2,678.0
final_full_stack0218.tif,0,665.0
final_full_stack0218.tif,1,577.0
final_full_stack0218.tif,2,677.0
final_full_stack0219.tif,1,577.0
final_full_stack0219.tif,2,676.0
final_full_stack0219.tif,0,665.0
final_full_stack0220.tif,0,665.0
final_full_stack0220.tif,2,676.0
final_full_stack0220.tif,1,577.0
final_full_stack0221.tif,0,664.0
final_full_stack0221.tif,1,577.0
final_full_stack0221.tif,2,679.0
final_full_stack0222.tif,1,577.0
final_full_stack0222.tif,2,680.0
final_full_stack0222.tif,0,664.0
final_full_stack0223.tif,2,677.0
final_full_stack0223.tif,1,578.0
final_full_stack0223.tif,0,663.0
final_full_stack0224.tif,2,676.0
final_full_stack0224.tif,0,664.0
final_full_stack0224.tif,1,577.0
final_full_stack0225.tif,1,577.0
final_full_stack0225.tif,0,665.0
final_full_stack0225.tif,2,677.0
final_full_stack0226.tif,1,577.0
final_full_stack0226.tif,0,667.0
final_full_stack0226.tif,2,677.0
final_full_stack0227.tif,2,676.0
final_full_stack0227.tif,0,667.0
final_full_stack0227.tif,1,576.0
final_full_stack0228.tif,1,576.0
final_full_stack0228.tif,2,677.0
final_full_stack0228.tif,0,670.0
final_full_stack0229.tif,1,577.0
final_full_stack0229.tif,0,671.0
final_full_stack0229.tif,2,678.0
final_full_stack0230.tif,2,679.0
final_full_stack0230.tif,0,670.0
final_full_stack0230.tif,1,578.0
final_full_stack0231.tif,1,577.0
final_full_stack0231.tif,2,678.0
final_full_stack0231.tif,0,669.0
final_full_stack0232.tif,1,578.0
final_full_stack0232.tif,2,675.0
final_full_stack0232.tif,0,668.0
final_full_stack0233.tif,2,674.0
final_full_stack0233.tif,1,578.0
final_full_stack0233.tif,0,669.0
final_full_stack0234.tif,1,579.0
final_full_stack0234.tif,0,667.0
final_full_stack0234.tif,2,675.0
final_full_stack0235.tif,0,667.0
final_full_stack0235.tif,1,580.0
final_full_stack0235.tif,2,674.0
final_full_stack0236.tif,2,677.0
final_full_stack0236.tif,0,666.0
final_full_stack0236.tif,1,581.0
final_full_stack0237.tif,2,673.0
final_full_stack0237.tif,0,666.0
final_full_stack0237.tif,1,579.0
final_full_stack0238.tif,1,580.0
final_full_stack0238.tif,0,666.0
final_full_stack0238.tif,2,675.0
final_full_stack0239.tif,2,674.0
final_full_stack0239.tif,1,577.0
final_full_stack0239.tif,0,667.0
final_full_stack0240.tif,2,674.0
final_full_stack0240.tif,1,577.0
final_full_stack0240.tif,0,664.0
final_full_stack0241.tif,1,578.0
final_full_stack0241.tif,2,672.0
final_full_stack0241.tif,0,665.0
final_full_stack0242.tif,0,661.0
final_full_stack0242.tif,2,673.0
final_full_stack0242.tif,1,578.0
final_full_stack0243.tif,0,659.0
final_full_stack0243.tif,2,676.0
final_full_stack0243.tif,1,578.0
final_full_stack0244.tif,1,579.0
final_full_stack0244.tif,2,677.0
final_full_stack0244.tif,0,660.0
final_full_stack0245.tif,1,578.0
final_full_stack0245.tif,0,659.0
final_full_stack0245.tif,2,677.0
final_full_stack0246.tif,0,660.0
final_full_stack0246.tif,1,579.0
final_full_stack0246.tif,2,677.0
final_full_stack0247.tif,1,579.0
final_full_stack0247.tif,2,678.0
final_full_stack0247.tif,0,662.0
final_full_stack0248.tif,1,579.0
final_full_stack0248.tif,2,678.0
final_full_stack0248.tif,0,664.0
final_full_stack0249.tif,2,680.0
final_full_stack0249.tif,0,665.0
final_full_stack0249.tif,1,578.0
final_full_stack0250.tif,2,682.0
final_full_stack0250.tif,0,670.0
final_full_stack0250.tif,1,579.0
final_full_stack0251.tif,1,578.0
final_full_stack0251.tif,2,682.0
final_full_stack0251.tif,0,667.0
final_full_stack0252.tif,1,577.0
final_full_stack0252.tif,2,681.0
final_full_stack0252.tif,0,667.0
final_full_stack0253.tif,2,678.0
final_full_stack0253.tif,1,577.0
final_full_stack0253.tif,0,665.0
final_full_stack0254.tif,1,578.0
final_full_stack0254.tif,2,676.0
final_full_stack0254.tif,0,667.0
final_full_stack0255.tif,0,668.0
final_full_stack0255.tif,1,579.0
final_full_stack0255.tif,2,677.0
final_full_stack0256.tif,0,670.0
final_full_stack0256.tif,2,672.0
final_full_stack0256.tif,1,579.0
final_full_stack0257.tif,1,579.0
final_full_stack0257.tif,0,669.0
final_full_stack0257.tif,2,675.0
final_full_stack0258.tif,2,675.0
final_full_stack0258.tif,0,668.0
final_full_stack0258.tif,1,578.0
final_full_stack0259.tif,0,667.0
final_full_stack0259.tif,1,578.0
final_full_stack0259.tif,2,678.0
final_full_stack0260.tif,2,678.0
final_full_stack0260.tif,1,578.0
final_full_stack0260.tif,0,667.0
final_full_stack0261.tif,2,678.0
final_full_stack0261.tif,1,576.0
final_full_stack0261.tif,0,666.0
final_full_stack0262.tif,0,665.0
final_full_stack0262.tif,2,677.0
final_full_stack0262.tif,1,577.0
final_full_stack0263.tif,1,577.0
final_full_stack0263.tif,2,677.0
final_full_stack0263.tif,0,665.0
final_full_stack0264.tif,2,676.0
final_full_stack0264.tif,1,577.0
final_full_stack0264.tif,0,663.0
final_full_stack0265.tif,0,659.0
final_full_stack0265.tif,1,576.0
final_full_stack0265.tif,2,675.0
final_full_stack0266.tif,1,577.0
final_full_stack0266.tif,0,654.0
final_full_stack0266.tif,2,674.0
final_full_stack0267.tif,0,653.0
final_full_stack0267.tif,2,675.0
final_full_stack0267.tif,1,576.0
final_full_stack0268.tif,1,577.0
final_full_stack0268.tif,0,652.0
final_full_stack0268.tif,2,673.0
final_full_stack0269.tif,2,673.0
final_full_stack0269.tif,0,655.0
final_full_stack0269.tif,1,575.0
final_full_stack0270.tif,0,653.0
final_full_stack0270.tif,2,673.0
final_full_stack0270.tif,1,575.0
final_full_stack0271.tif,1,575.0
final_full_stack0271.tif,2,672.0
final_full_stack0271.tif,0,654.0
final_full_stack0272.tif,2,671.0
final_full_stack0272.tif,0,650.0
final_full_stack0272.tif,1,573.0
